{'device_id': 'e2:01:00:02:0d:40', 'no': 37, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:51:14.755477', 'rssi': -83}
{'device_id': 'e2:01:00:02:0d:40', 'no': 38, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:51:25.769170', 'rssi': -86}
{'device_id': 'e2:01:00:02:0d:40', 'no': 39, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:51:25.867283', 'rssi': -96}
{'device_id': 'e2:01:00:02:0d:40', 'no': 40, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:51:36.875358', 'rssi': -85}
{'device_id': 'e2:01:00:02:0d:40', 'no': 41, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:51:40.146210', 'rssi': -92}
{'device_id': 'e2:01:00:02:0d:40', 'no': 42, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:51:47.975715', 'rssi': -98}
{'device_id': 'e2:01:00:02:0d:40', 'no': 43, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:51:59.135029', 'rssi': -75}
{'device_id': 'e2:01:00:02:0d:40', 'no': 44, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:51:59.521379', 'rssi': -86}
{'device_id': 'e2:01:00:02:0d:40', 'no': 45, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:52:09.861272', 'rssi': -88}
{'device_id': 'e2:01:00:02:0d:40', 'no': 46, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:52:21.190640', 'rssi': -89}
{'device_id': 'e2:01:00:02:0d:40', 'no': 47, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:52:31.873505', 'rssi': -72}
{'device_id': 'e2:01:00:02:0d:40', 'no': 48, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:52:32.299769', 'rssi': -91}
{'device_id': 'e2:01:00:02:0d:40', 'no': 49, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:52:44.009602', 'rssi': -93}
{'device_id': 'e2:01:00:02:0d:40', 'no': 50, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:52:45.828872', 'rssi': -91}
{'device_id': 'e2:01:00:02:0d:40', 'no': 51, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:52:54.092315', 'rssi': -77}
{'device_id': 'e2:01:00:02:0d:40', 'no': 52, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:52:54.188227', 'rssi': -88}
{'device_id': 'e2:01:00:02:0d:40', 'no': 53, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:53:05.190623', 'rssi': -96}
{'device_id': 'e2:01:00:02:0d:40', 'no': 54, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:53:16.080111', 'rssi': -92}
{'device_id': 'e2:01:00:02:0d:40', 'no': 55, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:53:26.978220', 'rssi': -82}
{'device_id': 'e2:01:00:02:0d:40', 'no': 56, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:53:27.089916', 'rssi': -87}
{'device_id': 'e2:01:00:02:0d:40', 'no': 57, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:53:37.980114', 'rssi': -84}
{'device_id': 'e2:01:00:02:0d:40', 'no': 58, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:53:38.420841', 'rssi': -95}
{'device_id': 'e2:01:00:02:0d:40', 'no': 59, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:53:49.086563', 'rssi': -83}
{'device_id': 'e2:01:00:02:0d:40', 'no': 60, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:53:49.198471', 'rssi': -86}
{'device_id': 'e2:01:00:02:0d:40', 'no': 61, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:54:09.205198', 'rssi': -100}
{'device_id': 'e2:01:00:02:0d:40', 'no': 62, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:54:12.724665', 'rssi': -87}
{'device_id': 'e2:01:00:02:0d:40', 'no': 63, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:54:22.490782', 'rssi': -87}
{'device_id': 'e2:01:00:02:0d:40', 'no': 64, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:54:23.502580', 'rssi': -88}
{'device_id': 'e2:01:00:02:0d:40', 'no': 65, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:54:33.295175', 'rssi': -101}
{'device_id': 'e2:01:00:02:0d:40', 'no': 66, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:54:44.303053', 'rssi': -85}
{'device_id': 'e2:01:00:02:0d:40', 'no': 67, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:54:46.491079', 'rssi': -90}
