{'rssi': -85, 'no': 37, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:27.511153', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -67, 'no': 38, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:27.512688', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -76, 'no': 39, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:28.978261', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -79, 'no': 40, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:28.979849', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -98, 'no': 41, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:33.595912', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -81, 'no': 42, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:36.059985', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -72, 'no': 43, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:36.096519', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -87, 'no': 44, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:37.075382', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -69, 'no': 45, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:39.114904', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -93, 'no': 46, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:39.116490', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -92, 'no': 47, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:43.261623', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -84, 'no': 48, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:47.759468', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -74, 'no': 49, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:49.014877', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -69, 'no': 50, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:49.284529', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -98, 'no': 51, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:49.560959', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -95, 'no': 52, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:49.562444', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -94, 'no': 53, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:56.705617', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -95, 'no': 54, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:57.975641', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -87, 'no': 55, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:41:58.316429', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -92, 'no': 56, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:00.732594', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -91, 'no': 57, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:03.508689', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -100, 'no': 58, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:12.907687', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -78, 'no': 59, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:14.064554', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -91, 'no': 60, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:22.957929', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -79, 'no': 61, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:24.351707', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -98, 'no': 62, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:29.871374', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -89, 'no': 63, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:31.688760', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -86, 'no': 64, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:34.521166', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -74, 'no': 65, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:34.823220', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -98, 'no': 66, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:35.901377', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -91, 'no': 67, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:35.902899', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -94, 'no': 68, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:39.113229', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -81, 'no': 69, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:42.340900', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -81, 'no': 70, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:43.070811', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -101, 'no': 71, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:43.072513', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -86, 'no': 72, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:45.099650', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -91, 'no': 73, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:45.635500', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -85, 'no': 74, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:45.636430', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -87, 'no': 75, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:53.082960', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -69, 'no': 76, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:53.311762', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -77, 'no': 77, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:53.837221', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -79, 'no': 78, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:54.139307', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -75, 'no': 79, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:42:54.185548', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -77, 'no': 80, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:04.085809', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -61, 'no': 81, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:04.191497', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -91, 'no': 82, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:04.418721', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -65, 'no': 83, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:04.640127', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -70, 'no': 84, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:05.436000', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -92, 'no': 85, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:09.169391', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -55, 'no': 86, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:15.202374', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -70, 'no': 87, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:15.309308', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -56, 'no': 88, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:15.456506', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -68, 'no': 89, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:15.458055', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -67, 'no': 90, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:18.035336', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -43, 'no': 91, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:26.189636', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -53, 'no': 92, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:26.198307', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -73, 'no': 93, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:26.407034', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -48, 'no': 94, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:26.638978', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -68, 'no': 95, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:26.956853', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -70, 'no': 96, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:27.034546', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -60, 'no': 97, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:34.217617', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -59, 'no': 98, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:37.330258', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -61, 'no': 99, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:37.332151', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -71, 'no': 100, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:37.519456', 'device_id': 'e2:01:00:02:0d:40'}
